name,datetime,order_type,volume,min_price,max_price,range,median,avg_price,mod_rank,item_id
akbolto_prime_set,2023-07-19T00:00:00.000+00:00,closed,12,70.0,84.0,14.0,75.0,77.0,,5a311f84c2c9e90dfff475f1
akbolto_prime_set,2023-07-19T00:00:00.000+00:00,sell,261,65.0,110.0,45.0,89.0,87.5,,5a311f84c2c9e90dfff475f1
akbronco_prime_blueprint,2023-07-16T00:00:00.000+00:00,closed,1,2.0,2.0,0.0,2.0,2.0,,54a73e65e779893a797fff22
akbronco_prime_blueprint,2023-07-18T00:00:00.000+00:00,sell,128,1.0,5.0,4.0,3.0,3.0,,54a73e65e779893a797fff22
akbronco_prime_blueprint,2023-07-18T00:00:00.000+00:00,buy,18,1.0,1.0,0.0,1.0,1.0,,54a73e65e779893a797fff22
akbronco_prime_blueprint,2023-07-21T00:00:00.000+00:00,closed,2,2.0,2.0,0.0,2.0,2.0,,54a73e65e779893a797fff22
akbronco_prime_blueprint,2023-07-21T00:00:00.000+00:00,buy,18,1.0,1.0,0.0,1.0,1.0,,54a73e65e779893a797fff22
akbronco_prime_blueprint,2023-07-16T00:00:00.000+00:00,buy,18,1.0,1.0,0.0,1.0,1.0,,54a73e65e779893a797fff22
akbronco_prime_blueprint,2023-07-16T00:00:00.000+00:00,sell,140,1.0,5.0,4.0,2.0,3.0,,54a73e65e779893a797fff22
akbronco_prime_blueprint,2023-07-21T00:00:00.000+00:00,sell,151,1.0,5.0,4.0,3.0,3.0,,54a73e65e779893a797fff22
akbronco_prime_blueprint,2023-07-15T00:00:00.000+00:00,closed,3,2.0,2.0,0.0,2.0,2.0,,54a73e65e779893a797fff22
akbronco_prime_blueprint,2023-07-17T00:00:00.000+00:00,sell,132,1.0,5.0,4.0,2.0,3.0,,54a73e65e779893a797fff22
akbronco_prime_blueprint,2023-07-17T00:00:00.000+00:00,closed,5,1.0,2.0,1.0,1.0,1.5,,54a73e65e779893a797fff22
akbronco_prime_blueprint,2023-07-15T00:00:00.000+00:00,buy,18,1.0,1.0,0.0,1.0,1.0,,54a73e65e779893a797fff22
akbronco_prime_blueprint,2023-07-17T00:00:00.000+00:00,buy,18,1.0,1.0,0.0,1.0,1.0,,54a73e65e779893a797fff22
akbronco_prime_blueprint,2023-07-15T00:00:00.000+00:00,sell,140,1.0,5.0,4.0,2.0,3.0,,54a73e65e779893a797fff22
akbronco_prime_blueprint,2023-07-19T00:00:00.000+00:00,sell,129,1.0,5.0,4.0,3.0,3.0,,54a73e65e779893a797fff22
akbronco_prime_blueprint,2023-07-19T00:00:00.000+00:00,buy,18,1.0,1.0,0.0,1.0,1.0,,54a73e65e779893a797fff22
akbronco_prime_blueprint,2023-07-19T00:00:00.000+00:00,closed,2,1.0,2.0,1.0,1.5,1.5,,54a73e65e779893a797fff22
akbronco_prime_blueprint,2023-07-20T00:00:00.000+00:00,sell,147,1.0,5.0,4.0,3.0,3.0,,54a73e65e779893a797fff22
akbronco_prime_blueprint,2023-07-20T00:00:00.000+00:00,buy,18,1.0,1.0,0.0,1.0,1.0,,54a73e65e779893a797fff22
akbronco_prime_blueprint,2023-07-20T00:00:00.000+00:00,closed,1,1.0,1.0,0.0,1.0,1.0,,54a73e65e779893a797fff22
akbronco_prime_blueprint,2023-07-18T00:00:00.000+00:00,closed,3,2.0,3.0,1.0,3.0,2.5,,54a73e65e779893a797fff22
akbronco_prime_link,2023-07-21T00:00:00.000+00:00,closed,12,2.0,3.0,1.0,2.0,2.5,,54a73e65e779893a797fff23
